Name,Location,Rank Info
Lehigh University,"Bethlehem, PA",#46 in National Universities
North Carolina Wesleyan College,"Rocky Mount, NC",#46 in Regional Colleges South
Pepperdine University,"Malibu, CA",#46 in National Universities
University of California--Davis,"Davis, CA",#46 in National Universities
University of Miami,"Coral Gables, FL",#46 in National Universities
University of Tennessee--Martin,"Martin, TN",#46 in Regional Universities South
University of Wisconsin--Madison,"Madison, WI",#46 in National Universities
Villanova University,"Villanova, PA",#46 in National Universities
Aquinas College,"Grand Rapids, MI",#47 in Regional Universities Midwest
California State University--Monterey Bay,"Seaside, CA",#47 in Regional Universities West
Humboldt State University,"Arcata, CA",#47 in Regional Universities West
Marian University,"Indianapolis, IN",#47 in Regional Universities Midwest
New York Institute of Technology,"Old Westbury, NY",#47 in Regional Universities North
Northwest Nazarene University,"Nampa, ID",#47 in Regional Universities West
